SiteN,State,Lat,Long,DO,pH,avg_WW,avg_Depth,pflow_Pool,pflow_Run,pflow_Riffle,pbottom_Mud,pbottom_Sand,pbottom_SmGravel,pbottom_LgGravel,pbottom_Cobble,pbottom_Boulder,pbottom_Bedrock,pfloat_macrophytes ,pfloat_wood ,upstreamCumDA_km2,slopePercent,avgMonthFlow_cfs,CV_flow,maxMonthFlow_cfs,minMonthFlow_cfs,Ameiurus,Aphredoderus,Aplodinotus,Campostoma,Cyprinella,Cyprinus,Dorosoma,Ellasoma,Erimyzon,Esox,Etheostoma,Fundulus,Gambusia,Ictalurus,Labidesthes,Lepisosteus,Lepomis,Lythrus,Macrohybopsis,Micropterus,Minytrema,Moxostoma,Nototropis,Notemigonus,Notropis,Noturus,Percina,Phenocobius,Pimephales,Semotilus,t_population,t_species,burn_mean,burn_median,burn_sd,burn_min,burn_max,burn_range,burn_cv,burn_trend,dfm1000hr_mean,dfm1000hr_median,dfm1000hr_sd,dfm1000hr_min,dfm1000hr_max,dfm1000hr_range,dfm1000hr_cv,dfm1000hr_trend,dfm100hr_mean,dfm100hr_median,dfm100hr_sd,dfm100hr_min,dfm100hr_max,dfm100hr_range,dfm100hr_cv,dfm100hr_trend,energy_ERC_mean,energy_ERC_median,energy_ERC_sd,energy_ERC_min,energy_ERC_max,energy_ERC_range,energy_ERC_cv,energy_ERC_trend,maxT_mean,maxT_median,maxT_sd,maxT_min,maxT_max,maxT_range,maxT_cv,maxT_trend,maxRelH_mean,maxRelH_median,maxRelH_sd,maxRelH_min,maxRelH_max,maxRelH_range,maxRelH_cv,maxRelH_trend,vaporDeficit_mean,vaporDeficit_median,vaporDeficit_sd,vaporDeficit_min,vaporDeficit_max,vaporDeficit_range,vaporDeficit_cv,vaporDeficit_trend,minT_mean,minT_median,minT_sd,minT_min,minT_max,minT_range,minT_cv,minT_trend,minRelH_mean,minRelH_median,minRelH_sd,minRelH_min,minRelH_max,minRelH_range,minRelH_cv,minRelH_trend,specificH_mean,specificH_median,specificH_sd,specificH_min,specificH_max,specificH_range,specificH_cv,specificH_trend,precipitation_mean,precipitation_median,precipitation_sd,precipitation_min,precipitation_max,precipitation_range,precipitation_cv,precipitation_trend,alfalfa_mean,alfalfa_median,alfalfa_sd,alfalfa_min,alfalfa_max,alfalfa_range,alfalfa_cv,alfalfa_trend,grass_mean,grass_median,grass_sd,grass_min,grass_max,grass_range,grass_cv,grass_trend,sunshine_mean,sunshine_median,sunshine_sd,sunshine_min,sunshine_max,sunshine_range,sunshine_cv,sunshine_trend,windDirection_mean,windDirection_median,windDirection_sd,windDirection_min,windDirection_max,windDirection_range,windDirection_cv,windDirection_trend,windSpeed_mean,windSpeed_median,windSpeed_sd,windSpeed_min,windSpeed_max,windSpeed_range,windSpeed_cv,windSpeed_trend,palmer_p_mean,palmer_p_median,palmer_p_sd,palmer_p_min,palmer_p_max,palmer_p_range,palmer_p_cv,palmer_p_trend,palmer_z_mean,palmer_z_median,palmer_z_sd,palmer_z_min,palmer_z_max,palmer_z_range,palmer_z_cv,palmer_z_trend
11,TX,33.807445,-96.563396,13.1,7.27,3.57,21.75,33.333333,33.333333,33.33333,1.7,0,15.8,20,27.5,35,0,0,0,6.5,1.02,1.586666667,0.661032189,3.42,0.47,0,0,0,3,0,0,0,0,0,0,0,13,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,63,3,26.04634703,25.3,9.002441216,2.5,59.1,56.6,0.345631624,0.004744557,17.17396119,17.25,2.374480129,8.28,23.85,15.57,0.138260481,-0.000991234,15.61570776,15.455,2.965284462,5.66,25.56,19.9,0.189891134,-0.000909404,29.71187215,29,9.517816538,4.1,74.8,70.7,0.320337153,0.004043795,290.6619635,291.96,11.17528007,258.12,314.71,56.59,0.038447687,0.000340862,87.78597032,88.945,7.348011929,52.93,100,47.07,0.083703716,-0.005693661,0.76309589,0.688,0.52875572,0.032,3.976,3.944,0.69290862,4.68E-05,278.123847,278.24,10.61189654,250.09,297.44,47.35,0.038155292,0.000508595,41.86228311,40.6,11.14445928,11.57,80.8,69.23,0.266217188,0.001105882,0.006716894,0.005515,0.004207658,0.00078,0.017174,0.016394,0.626429085,1.28E-11,2.199121005,1.26,2.565206967,0,18.84,18.84,1.166469222,0.00028374,4.719075342,4.745,2.624144642,0.3,15.39,15.09,0.556071784,0.000197088,3.428607306,3.375,2.018497424,0.23,10.66,10.43,0.588722255,0.000118889,182.221016,185.23,75.80617111,62.38,318.34,255.96,0.416012229,0.002302448,184.7989726,183.5,43.39608315,49.5,323.9,274.4,0.234828595,-0.007236955,4.446232877,4.4,0.71471996,2.51,6.69,4.18,0.160747307,0.000233225,4.512557078,4,2.243423131,0,10,10,0.497151192,0.001565406,4.85673516,5,1.415532824,0.5,10,9.5,0.291457693,0.000375265
12,TX,33.791701,-96.567376,9,6.87,5.64166,26.16666,50,16.66667,33.33333,8.8,3.3,18.3,14.2,12.5,9.5,33.3,33.333333,0,39.872,0.62,8.97,0.660724209,19.3,2.68,0,0,0,2,1,0,0,0,0,0,17,1,3,0,0,0,7,0,0,1,0,0,0,0,4,0,0,0,13,0,49,9,26.04634703,25.3,9.002441216,2.5,59.1,56.6,0.345631624,0.004744557,17.17396119,17.25,2.374480129,8.28,23.85,15.57,0.138260481,-0.000991234,15.61570776,15.455,2.965284462,5.66,25.56,19.9,0.189891134,-0.000909404,29.71187215,29,9.517816538,4.1,74.8,70.7,0.320337153,0.004043795,290.6619635,291.96,11.17528007,258.12,314.71,56.59,0.038447687,0.000340862,87.78597032,88.945,7.348011929,52.93,100,47.07,0.083703716,-0.005693661,0.76309589,0.688,0.52875572,0.032,3.976,3.944,0.69290862,4.68E-05,278.123847,278.24,10.61189654,250.09,297.44,47.35,0.038155292,0.000508595,41.86228311,40.6,11.14445928,11.57,80.8,69.23,0.266217188,0.001105882,0.006716894,0.005515,0.004207658,0.00078,0.017174,0.016394,0.626429085,1.28E-11,2.199121005,1.26,2.565206967,0,18.84,18.84,1.166469222,0.00028374,4.719075342,4.745,2.624144642,0.3,15.39,15.09,0.556071784,0.000197088,3.428607306,3.375,2.018497424,0.23,10.66,10.43,0.588722255,0.000118889,182.221016,185.23,75.80617111,62.38,318.34,255.96,0.416012229,0.002302448,184.7989726,183.5,43.39608315,49.5,323.9,274.4,0.234828595,-0.007236955,4.446232877,4.4,0.71471996,2.51,6.69,4.18,0.160747307,0.000233225,4.513127854,4,2.243865058,0,10,10,0.497186238,0.001561501,4.85673516,5,1.415532824,0.5,10,9.5,0.291457693,0.000375265
13,TX,33.791936,-96.530699,18.6,7.71,5.16666,36.25,16.66667,50,33.33333,10,10,26.7,15,23.3,6.7,8.3,0,0,14.119,0.69,3.1775,0.66142686,6.81,0.95,0,0,0,24,2,0,0,0,0,0,32,0,2,0,0,0,6,0,0,0,0,0,0,0,13,1,0,0,0,0,80,7,25.92671233,25.2,9.013456134,2.5,59.4,56.9,0.347651334,0.004791651,17.20067352,17.265,2.385115972,8.34,23.94,15.6,0.138664103,-0.001032736,15.61738584,15.47,2.974134254,5.67,25.67,20,0.190437394,-0.000964357,29.63835616,28.95,9.528234373,4,74.7,70.7,0.321483227,0.0041728,290.6494406,291.96,11.17245414,258.25,314.7,56.45,0.03843962,0.000334613,87.6665411,88.735,7.390079493,52.95,100,47.05,0.084297605,-0.006025269,0.767643836,0.691,0.531388917,0.033,3.985,3.952,0.69223368,4.91E-05,278.1535616,278.27,10.60505512,250.19,297.42,47.23,0.03812662,0.00059531,41.88394977,40.59,11.1267641,11.68,81.18,69.5,0.265656992,0.001053065,0.006693896,0.005499,0.004188218,0.000777,0.017112,0.016335,0.625677111,-4.70E-09,2.225513699,1.27,2.570213392,0,18.22,18.22,1.154885451,0.000277597,4.734646119,4.755,2.630591542,0.3,15.39,15.09,0.55560468,0.000207648,3.437180365,3.38,2.021310421,0.23,10.66,10.43,0.588072259,0.000121674,182.1899772,185.34,75.73385977,62.91,317.89,254.98,0.415686203,0.002283582,184.7989726,183.5,43.39608315,49.5,323.9,274.4,0.234828595,-0.007236955,4.448002283,4.415,0.716072976,2.51,6.7,4.19,0.160987547,0.000235357,4.418378995,4,2.196643896,0,9,9,0.497160587,0.001609307,4.827625571,5,1.40326245,0.5,10,9.5,0.290673423,0.000301624
14,TX,33.636749,-96.435176,6.3,7.88,7.1,27.91666,33.333333,33.333333,33.333333,64.2,1.7,19.2,12.5,2.5,0,0,83.333333,16.66667,86.466,0.16,21.25833333,0.674983665,45.52,5.81,0,0,0,0,2,0,0,0,0,0,0,14,23,0,0,0,45,0,0,0,0,0,0,0,5,0,1,0,6,0,96,7,25.94086758,25.7,8.964578758,5.2,58.3,53.1,0.345577446,0.004836931,17.27284247,17.37,2.379605657,7.77,24.05,16.28,0.137765725,-0.001019479,15.71204338,15.6,2.936744432,5.67,26.47,20.8,0.186910408,-0.000963824,29.37968037,28.8,9.474692216,2.9,73,70.1,0.322491331,0.004102825,290.5548973,291.875,11.25961869,258.4,315,56.6,0.038752122,0.000433411,88.13618721,89.26,7.309310106,52.68,100,47.32,0.082931998,-0.005920212,0.760208904,0.6905,0.525776645,0.037,4.035,3.998,0.691621267,5.11E-05,277.9322945,278.16,10.64109691,250.04,297.18,47.14,0.038286652,0.000573536,41.88855023,40.65,11.00004685,12.07,80.08,68.01,0.262602711,0.000593157,0.006635404,0.005386,0.004203435,0.000757,0.017156,0.016399,0.633485837,-2.69E-08,2.203915525,1.29,2.598395551,0,14.91,14.91,1.178990538,0.000441475,4.723561644,4.77,2.62494729,0.32,15.57,15.25,0.555713567,0.000251077,3.425479452,3.39,2.016700167,0.23,10.75,10.52,0.588735152,0.00015285,181.5459817,184.845,76.28923902,60.55,320.55,260,0.420219926,0.003013292,185.2465753,184.1,43.25552331,49.9,323.7,273.8,0.233502418,-0.007764299,4.478618721,4.44,0.722331357,2.51,6.77,4.26,0.161284405,0.000239771,4.719748858,4,2.474400519,0,10,10,0.524265293,0.002632542,4.926940639,5,1.469369215,0.5,10,9.5,0.298231565,0.000631186
15,TX,33.48,-96.341,7.3,7.74,6.25833,25.08333,16.66667,50,33.33333,11.3,0,29.2,20,4.6,2.5,32.5,100,33.33333,14.381,0.42,3.929166667,0.676821709,8.21,0.97,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,38,0,0,0,0,0,0,0,0,1,0,0,0,0,48,3,25.89098174,25.45,8.999866739,4.1,58.4,54.3,0.347606237,0.004693855,17.28449772,17.335,2.443629982,7.6,24.58,16.98,0.141376974,-0.001288974,15.73527397,15.72,2.985789486,5.65,26.21,20.56,0.18975135,-0.001286896,29.36244292,28.8,9.599865294,2.8,74,71.2,0.326943685,0.004948502,290.4930137,291.86,11.41411916,258.94,315.22,56.28,0.039292233,0.000395007,88.31590183,89.575,7.404636582,52.53,100,47.47,0.08384262,-0.007369515,0.766013699,0.7065,0.534419819,0.038,4.078,4.04,0.697663528,6.01E-05,277.7388014,278,10.68009032,250.71,296.99,46.28,0.038453721,0.000954826,41.65005708,40.17,11.00300226,12.54,80.49,67.95,0.264177363,0.000271224,0.006547637,0.0052985,0.004164135,0.000741,0.017063,0.016322,0.635975172,-6.85E-08,2.163447489,1.225,2.556986532,0,16.8,16.8,1.181903672,0.00042839,4.727442922,4.83,2.653674215,0.32,15.57,15.25,0.561333951,0.000297791,3.422591324,3.425,2.034763182,0.23,10.76,10.53,0.594509537,0.000183678,180.8057763,185.235,76.42203398,58.85,323.08,264.23,0.422674737,0.003622172,187.1796804,186.8,43.45499822,50.4,323.4,273,0.2321566,-0.008221422,4.470582192,4.44,0.729885682,2.48,6.92,4.44,0.163264123,0.000250048,4.670091324,4,2.55937626,0,10,10,0.548035591,0.002699346,4.88413242,5,1.458712387,0.5,10,9.5,0.298663562,0.000601191
16,TX,33.496,-96.388,10.3,6.8,3.55,4.58333,0,66.66667,33.33333,0,0.4,7.9,10.8,8.3,7.5,65,100,16.66667,5.37,0.62,1.396666667,0.678742563,2.96,0.36,1,0,0,53,31,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,94,6,26.02671233,25.75,9.093499292,4,59.1,55.1,0.349391009,0.004758726,17.27229452,17.345,2.439371665,7.6,24.44,16.84,0.141230319,-0.00123633,15.71560502,15.615,2.975352015,5.65,26.15,20.5,0.189324688,-0.001215096,29.44874429,28.9,9.636996386,2.8,73.9,71.1,0.327246428,0.004842335,290.5501941,291.91,11.37785256,258.84,315.23,56.39,0.03915968,0.000496579,88.26320776,89.46,7.380637284,52.52,100,47.48,0.083620769,-0.006955662,0.765576484,0.7085,0.531894799,0.035,4.075,4.04,0.694763763,6.60E-05,277.7833676,278.1,10.66405618,250.72,296.93,46.21,0.03838983,0.000892656,41.50038813,40.07,10.98348573,12.17,80.43,68.26,0.264659831,2.22E-05,0.006568465,0.005319,0.004172855,0.000745,0.01706,0.016315,0.635286229,-5.73E-08,2.193276256,1.235,2.617115839,0,17.26,17.26,1.193244961,0.000459911,4.731860731,4.845,2.647241492,0.33,15.59,15.26,0.559450424,0.0003189,3.426164384,3.435,2.029363643,0.23,10.77,10.54,0.592313566,0.000196487,180.8836416,185.24,76.42814747,58.74,322.33,263.59,0.422526586,0.003522014,185.208105,184.1,43.2977286,49.6,324,274.4,0.2337788,-0.007919443,4.472819635,4.43,0.725591033,2.51,6.84,4.33,0.162222287,0.00024465,4.739726027,4,2.604035666,0,10,10,0.549406369,0.00290394,4.913812785,5,1.484794647,0.5,10,9.5,0.302167525,0.000674319
17,TX,33.642,-96.181,4.9,7.26,4.05,39.375,75,0,25,86.3,7.5,4.4,1.9,0,0,0,25,100,8.086,0.35,2.386666667,0.684039271,5,0.65,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,25.95776256,25.65,9.244791031,5.4,61.6,56.2,0.356147453,0.003959674,17.34656393,17.42,2.433975636,8.11,24.6,16.49,0.140314569,-0.001119053,15.71010274,15.63,2.977931634,5.92,26.23,20.31,0.189555198,-0.001099783,29.08767123,28.5,9.484479442,2.4,73,70.6,0.326065272,0.004256073,290.4327626,291.79,11.19406084,259.23,314.68,55.45,0.038542693,0.000698847,87.9906621,88.94,7.475191085,51.93,100,48.07,0.084954368,-0.005437528,0.749176941,0.7,0.513546003,0.042,3.975,3.933,0.685480259,7.53E-05,277.8807991,278.225,10.70729816,250.79,297.22,46.43,0.038531983,0.000450513,41.84176941,40.73,10.75098544,13.12,77.97,64.85,0.256943853,-0.000591256,0.006605766,0.0053575,0.004206386,0.000755,0.017346,0.016591,0.636774839,-4.96E-08,2.342511416,1.39,2.720417322,0,14.37,14.37,1.161325108,0.000527092,4.768881279,4.84,2.615738522,0.35,16,15.65,0.548501497,0.000335069,3.444783105,3.44,2.003476106,0.25,11.01,10.76,0.58159717,0.000205005,181.2478082,185.73,75.91027598,60.53,319.63,259.1,0.41882038,0.003416158,186.7929224,186.15,43.0332896,51.1,321.8,270.7,0.230379658,-0.009049997,4.712317352,4.7,0.776648634,2.65,7.21,4.56,0.164812464,0.000249212,4.492009132,4,2.553635618,0,10,10,0.568484066,0.002405648,4.869292237,5,1.432373561,0,10,10,0.294164632,0.000504437
18,TX,33.664,-96.181,8.6,7.64,3.033333,7.16666,0,66.66667,33.33333,62.5,28.8,7.1,1.7,0,0,0,16.66667,66.66667,11.075,0.29,3.281666667,0.682077498,6.85,0.89,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,36,3,25.85719178,25.6,9.17352782,5.2,61.7,56.5,0.354776648,0.003654659,17.43761416,17.495,2.415306478,8.13,24.77,16.64,0.138511293,-0.00101053,15.80723744,15.67,2.969495082,5.91,26.36,20.45,0.187856676,-0.000998137,28.77214612,28.2,9.395057258,2.2,74.7,72.5,0.326533072,0.003805235,290.3203881,291.64,11.22988064,258.98,314.59,55.61,0.038680992,0.0006193,88.38165525,89.55,7.359957789,51.84,100,48.16,0.083274722,-0.004713681,0.737421233,0.686,0.509070486,0.04,3.95,3.91,0.690338796,6.31E-05,277.7768265,278.01,10.77935597,249.99,297.27,47.28,0.038805814,0.000279631,42.12385845,41.115,10.78411807,13.19,78.39,65.2,0.25600974,-0.000256318,0.006639938,0.005372,0.00424734,0.000757,0.017478,0.016721,0.63966551,-3.59E-08,2.307054795,1.38,2.653322549,0,13.71,13.71,1.150090824,0.00051592,4.721541096,4.81,2.601546567,0.35,15.95,15.6,0.550995218,0.000281216,3.41913242,3.415,1.996129057,0.25,10.95,10.7,0.583811567,0.000171978,181.5590639,186.1,75.79025374,61.18,319.22,258.04,0.417441311,0.003391317,186.7929224,186.15,43.0332896,51.1,321.8,270.7,0.230379658,-0.009049997,4.719200913,4.71,0.778195167,2.67,7.21,4.54,0.164899775,0.000244803,4.473173516,4,2.424927523,0,10,10,0.542104507,0.002343405,4.872716895,5,1.418267133,0,10,10,0.291062905,0.000488826
19,TX,33.871,-95.544,7.7,7.62,6.20714,21.21429,28.57142857,28.57142857,42.85714286,83.2,0,8.6,6.8,0.7,0.7,0,57.14285714,57.14285714,496.258,0.03,170.2858333,0.6911456,349.65,45.63,0,0,0,0,55,0,0,0,0,0,5,0,3,0,0,0,67,0,0,1,0,0,0,0,3,3,19,0,16,0,172,9,22.68538813,22.35,7.831950206,4.3,53.2,48.9,0.345242063,0.003784664,17.75248858,17.79,2.349630588,8.7,24.83,16.13,0.132354998,-0.000842999,16.07320776,15.98,2.917564367,5.96,26,20.04,0.181517243,-0.0009162,27.58230594,27.1,8.986294469,2.4,72.2,69.8,0.325799246,0.003503498,290.7217237,292.275,11.16647141,259.66,315.2,55.54,0.038409484,0.000670496,89.04848174,90.285,7.06107798,54.34,100,45.66,0.07929476,-0.005073067,0.733229452,0.6865,0.50362555,0.036,3.983,3.947,0.686859412,7.83E-05,278.1898973,278.59,10.51455221,250.8,296.84,46.04,0.037796312,0.000527265,43.42546804,42.31,11.2191523,13.6,80.38,66.78,0.258354206,-0.000581276,0.006846623,0.005603,0.004318078,0.000799,0.01842,0.017621,0.630687203,-8.54E-08,2.381757991,1.415,2.753082186,0,20.73,20.73,1.155903411,0.000515906,4.372134703,4.485,2.42046099,0.3,14.88,14.58,0.5536108,0.000283184,3.242385845,3.21,1.914311193,0.23,10.38,10.15,0.590402033,0.000176659,180.4039155,184.48,76.83628919,58.36,319.21,260.85,0.425912536,0.004217039,180.9464612,181.7,42.81902741,49,317.6,268.6,0.236639209,-0.01390974,3.870513699,3.82,0.697416031,1.99,5.96,3.97,0.180186943,0.000200685,4.555365297,4,2.490407346,0,10,10,0.546697616,0.002885138,4.882420091,5,1.461409711,0,10,10,0.299320764,0.000679741
20,TX,33.756,-96.521,5.7,7.63,2.86166,30,33.33333,33.33333,33.33333,4.2,5.8,35.8,30.8,10.8,11.7,0.8,100,0,10.52,0.92,2.4075,0.661275425,5.18,0.71,2,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,109,3,25.93972603,25.3,8.92011973,2.5,59,56.5,0.343878718,0.004837707,17.20391553,17.3,2.374830556,8.19,23.94,15.75,0.13804012,-0.001112749,15.62223744,15.475,2.952963146,5.67,25.71,20.04,0.189023061,-0.001038264,29.60924658,28.9,9.470545248,3.9,72.8,68.9,0.319850937,0.004406858,290.6440982,291.935,11.18974688,258.42,314.77,56.35,0.038499825,0.00043592,87.73652968,88.66,7.350785412,52.83,100,47.17,0.083782496,-0.006091703,0.766765982,0.69,0.53003511,0.033,4.002,3.969,0.691260597,5.25E-05,278.1348288,278.295,10.59568229,250.36,297.44,47.08,0.038095489,0.000628535,41.88956621,40.75,11.06314405,11.77,80.84,69.07,0.264102617,0.000709794,0.006683268,0.005472,0.004194579,0.000773,0.017112,0.016339,0.627623908,-6.18E-09,2.209657534,1.29,2.563412817,0,17.75,17.75,1.160095072,0.000324975,4.735958904,4.77,2.627464639,0.31,15.42,15.11,0.554790422,0.000236485,3.437123288,3.39,2.020001455,0.23,10.67,10.44,0.587701193,0.000140994,182.0968607,185.33,75.85548329,62.53,318.91,256.38,0.416566672,0.002437433,184.7989726,183.5,43.39608315,49.5,323.9,274.4,0.234828595,-0.007236955,4.451015982,4.415,0.716706218,2.51,6.7,4.19,0.161020814,0.000238362,4.503995434,4,2.298807517,0,10,10,0.51039295,0.001855074,4.860730594,5,1.41138923,0.5,10,9.5,0.290365656,0.000402341
21,TX,33.609,-96.605,7.1,7.64,8.005,20.16667,16.66667,50,33.333333,1.7,14.2,40,30.8,10,2.5,2.5,83.33333,33.333333,92.335,0.15,20.8675,0.691694976,46.84,6.21,0,0,0,17,60,0,0,0,0,0,0,9,2,0,0,0,12,0,0,0,0,0,0,0,53,0,0,1,13,0,167,8,26.53835616,26,9.103017165,5.3,58.4,53.1,0.343013603,0.006282358,17.04191781,17.1,2.396755936,7.65,23.79,16.14,0.140638863,-0.001448834,15.52573059,15.47,2.936931589,5.55,25.82,20.27,0.189165436,-0.001374207,30.19851598,29.7,9.631851654,3.9,73.7,69.8,0.318951158,0.005897767,290.6776484,291.94,11.32296916,258.72,315.09,56.37,0.038953697,0.000735701,87.64990868,88.955,7.476155306,52.65,100,47.35,0.085295643,-0.0075373,0.778245434,0.702,0.537965165,0.036,4.063,4.027,0.691253866,8.49E-05,277.9808219,278.185,10.67050553,250.98,297.4,46.42,0.038385762,0.001080866,41.28518265,40.23,10.88041127,11.67,78.62,66.95,0.263542767,-2.14E-05,0.006593861,0.0053735,0.004188687,0.000755,0.016969,0.016214,0.63524045,1.08E-08,2.124611872,1.205,2.574381241,0,20.02,20.02,1.21169484,0.000384696,4.779394977,4.81,2.651770103,0.31,15.58,15.27,0.554833847,0.000370538,3.457968037,3.405,2.034522535,0.23,10.76,10.53,0.58835782,0.000225302,181.6834817,184.665,76.11422327,61.09,320.71,259.62,0.418938599,0.002768415,185.0711187,184.1,43.31160668,49.9,323.3,273.4,0.234026827,-0.008258141,4.464600457,4.43,0.721073179,2.51,6.75,4.24,0.161509005,0.000240414,4.686643836,4,2.389028798,0,10,10,0.509752582,0.00254292,4.906392694,5,1.484633697,0.5,10,9.5,0.302591698,0.000610425
22,TX,33.81,-96.678,7.1,7.57,7.45833,45.41666,50,33.33333,16.66667,15.8,2.5,15,20.8,29.2,9.2,7.5,83.33333,16.66667,42.726,0.34,9.7125,0.666878661,21.19,2.87,2,0,0,0,8,0,0,0,0,0,19,0,2,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,117,5,26.54794521,25.9,9.122363653,2.6,60.1,57.5,0.343618445,0.004244472,17.04099315,17.09,2.375826277,8.11,23.88,15.77,0.139418299,-0.001090847,15.51342466,15.38,2.944417659,5.62,25.68,20.06,0.189798044,-0.00106379,30.26381279,29.75,9.544799611,4.1,75.3,71.2,0.315386554,0.004315954,290.7962785,292.035,11.26270686,258.69,314.92,56.23,0.038730574,0.000570989,87.66176941,88.7,7.430081825,53,100,47,0.08475852,-0.006609959,0.782731735,0.6995,0.538145384,0.035,4.014,3.979,0.687522123,6.83E-05,277.9673744,278.14,10.63500941,250.54,297.33,46.79,0.03825992,0.000834585,40.92992009,39.855,10.87661058,11.46,79.81,68.35,0.265737401,0.000492526,0.00661285,0.0053795,0.004185106,0.000761,0.017012,0.016251,0.632874711,8.37E-09,2.14739726,1.21,2.577710274,0,20.67,20.67,1.200388173,0.000354493,4.796187215,4.84,2.649388373,0.31,15.57,15.26,0.552394695,0.000283958,3.470525114,3.425,2.032383759,0.23,10.77,10.54,0.585612751,0.000174409,182.2877169,184.77,75.95636807,61.39,319.28,257.89,0.416683962,0.002338346,184.4441781,183.65,43.39699241,49.7,323.2,273.5,0.235285238,-0.008277604,4.442146119,4.4,0.713540249,2.53,6.67,4.14,0.160629621,0.00022365,4.581621005,4,2.429699725,0,10,10,0.530314428,0.00206447,4.884703196,5,1.447661878,0.5,10,9.5,0.296366395,0.000528835
23,TX,33.784,-96.594,7.3,6.05,4.18333,21.16667,16.66667,50,33.33333,17.5,3.3,28.3,32.5,17.5,0.8,0,66.66666667,50,8.554,1.04,1.941666667,0.662346916,4.2,0.57,0,0,0,0,0,0,0,0,0,0,75,3,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,89,4,26.04634703,25.3,9.002441216,2.5,59.1,56.6,0.345631624,0.004744557,17.17396119,17.25,2.374480129,8.28,23.85,15.57,0.138260481,-0.000991234,15.61570776,15.455,2.965284462,5.66,25.56,19.9,0.189891134,-0.000909404,29.71187215,29,9.517816538,4.1,74.8,70.7,0.320337153,0.004043795,290.6619635,291.96,11.17528007,258.12,314.71,56.59,0.038447687,0.000340862,87.78597032,88.945,7.348011929,52.93,100,47.07,0.083703716,-0.005693661,0.76309589,0.688,0.52875572,0.032,3.976,3.944,0.69290862,4.68E-05,278.123847,278.24,10.61189654,250.09,297.44,47.35,0.038155292,0.000508595,41.86228311,40.6,11.14445928,11.57,80.8,69.23,0.266217188,0.001105882,0.006716894,0.005515,0.004207658,0.00078,0.017174,0.016394,0.626429085,1.28E-11,2.199121005,1.26,2.565206967,0,18.84,18.84,1.166469222,0.00028374,4.719075342,4.745,2.624144642,0.3,15.39,15.09,0.556071784,0.000197088,3.428607306,3.375,2.018497424,0.23,10.66,10.43,0.588722255,0.000118889,182.221016,185.23,75.80617111,62.38,318.34,255.96,0.416012229,0.002302448,184.7989726,183.5,43.39608315,49.5,323.9,274.4,0.234828595,-0.007236955,4.446232877,4.4,0.71471996,2.51,6.69,4.18,0.160747307,0.000233225,4.512557078,4,2.243423131,0,10,10,0.497151192,0.001565406,4.85673516,5,1.415532824,0.5,10,9.5,0.291457693,0.000375265
24,TX,33.505,-94.29,7.2,6.7,7.82333,60.33333,33.33333,66.66667,0,89.2,0,3.3,2.5,0,1.7,3.3,100,66.66667,54.093,0.1,25.21,0.754922102,53,4.9,0,0,0,0,0,0,0,1,0,1,7,19,4,0,4,0,36,0,0,0,1,0,0,5,0,0,0,0,0,0,78,9,23.6206621,23,8.486595394,0.1,58.3,58.2,0.359286939,0.005908266,18.30990868,18.32,2.398705033,8.57,25.15,16.58,0.131005844,-0.00107156,16.53880137,16.565,2.899861208,6.13,25.66,19.53,0.175336842,-0.001093421,25.57260274,24.85,8.959012609,2.1,71.6,69.5,0.350336362,0.004517009,289.2795091,290.795,11.28949078,257.94,314.55,56.61,0.039026237,0.00061598,89.68658676,90.725,7.147398152,52.06,100,47.94,0.079693056,-0.005817178,0.628633562,0.5865,0.4600843,0.03,3.893,3.863,0.731879951,6.47E-05,277.4063813,277.88,10.61742012,249.13,297.16,48.03,0.038273886,0.00085645,46.25603881,46.12,10.55191726,14.63,79.87,65.24,0.228119777,0.00043204,0.006748452,0.005523,0.004245029,0.000728,0.017268,0.01654,0.629037404,5.04E-08,2.486643836,1.58,2.77949696,0,16.72,16.72,1.117770434,0.000395698,4.251506849,4.33,2.402910338,0.38,15.77,15.39,0.565190278,0.000296403,3.120673516,3.085,1.865658618,0.26,10.81,10.55,0.59783845,0.000196088,176.9538356,183.375,73.46238554,56.92,312.83,255.91,0.415150004,0.004883187,192.8884703,194.1,41.13513665,51.3,310.1,258.8,0.21325866,-0.015109904,4.823892694,4.835,0.795247747,2.68,7.21,4.53,0.164856019,0.000215128,5.009703196,4,2.575828883,0.5,10,9.5,0.514167962,0.002440945,5.000570776,5,1.482489004,0,10,10,0.296463958,0.00046553
